source_id,source_vendor,official_url,access_method,rights_url,rights_evidence,metadata_index,rendered_text,api_output,raw_download,bulk_export,proposed_public_tier,permission_contact_action,checked_date
ietf-post-2008,IETF MIB code components published on or after 2008-11-10,https://www.rfc-editor.org/,Fetch the authoritative RFC text and extract only the marked MIB or ASN.1 code component,https://trustee.ietf.org/documents/trust-legal-provisions/tlp-5/,"TLP section 4 licenses code components under the Revised BSD License; the IETF Trust FAQ explicitly includes MIBs and says the open license applies to IETF documents published on or after 2008-11-10. Preserve the BSD notice or permitted legend and record the source RFC.",approved,approved,approved,approved,approved,A,"No permission request for a qualifying module. Enforce per-RFC publication-date, stream, restrictive-legend, notice-retention, and attribution checks before activation.",2026-07-13
ietf-legacy-pre-2008,IETF legacy MIB code components published before 2008-11-10,https://www.rfc-editor.org/,Fetch the authoritative RFC text; do not activate until the rights regime and notices for that exact RFC are reviewed,https://trustee.ietf.org/documents/trust-legal-provisions/copyright-policy-and-tlp-faq/,"The IETF Trust FAQ describes different rules for March 2005 to 2008-11-10 and still earlier material; the current BSD statement cannot safely be applied to every legacy MIB as a class.",unknown,unknown,unknown,unknown,unknown,Q,"Review each RFC and embedded module notice. Ask the IETF Administrative Director at iad@ietf.org when the applicable permission remains unclear.",2026-07-13
iana-maintained-mibs,IANA maintained MIB registries and directly linked MIB files,https://www.iana.org/assignments/smi-numbers/smi-numbers.xhtml,Fetch only protocol-registry data and MIB files directly linked from an IANA assignments page,https://www.iana.org/help/licensing-terms,"IANA and IETF dedicate applicable rights in Protocol Registries to CC0. Individual IANA MIB files can also carry an IETF Trust notice tied to an RFC; retain that notice and apply the corresponding code-component license.",approved,approved,approved,approved,approved,A,"No permission request for direct Protocol Registry data. Whitelist exact IANA assignment URLs and verify every raw MIB's embedded notice before release.",2026-07-13
cisco,Cisco enterprise MIBs,https://github.com/cisco/cisco-mibs,"Public Git clone or raw-file download; Cisco's SNMP FAQ identifies this repository as a retrieval route",https://www.cisco.com/c/en/us/about/legal/terms-conditions.html,"The public repository had no detected LICENSE (GitHub API license=null on 2026-07-13). Cisco's site terms grant only limited internal viewing and say Software Content requires its own specified license; reproduction or distribution is not granted by default.",unknown,denied,denied,denied,denied,Q,"Request written commercial redistribution permission from Cisco Legal covering all five scopes; until then use only non-public QA samples obtained consistently with the source terms.",2026-07-13
juniper,Juniper Networks Junos enterprise MIBs,https://www.juniper.net/documentation/us/en/software/junos/network-mgmt/topics/topic-map/understand-snmp-implementation-in-junos-os.html,Download the release-specific ZIP or TAR package through the official SNMP MIB Explorer,https://www.juniper.net/us/en/legal-notices.html,"Juniper documents public download and compilation, but its legal notice says site content is protected and reproduction, modification, distribution, republication, display, or performance beyond resource use is prohibited.",unknown,denied,denied,denied,denied,Q,"Request a MIB-specific written license from Juniper Legal or the account team for indexing, rendered descriptions, API output, raw mirrors, and bulk export.",2026-07-13
arista,Arista Networks EOS proprietary MIBs,https://www.arista.com/en/support/product-documentation/arista-snmp-mibs,Download individual MIBs or the official all-MIB bundle from the public product-documentation page,https://www.arista.com/en/terms-of-use,"The source page offers proprietary MIB downloads. Arista's terms say no site information may be copied, reproduced, modified, published, uploaded, posted, transmitted, or distributed without prior written permission.",unknown,denied,denied,denied,denied,Q,"Ask Arista Legal for a written public/commercial redistribution grant. Do not infer a license from public download availability.",2026-07-13
aruba-hpe,Aruba HPE AOS-CX and ArubaOS MIBs,https://www.arubanetworks.com/techdocs/AOS-CX/10.11/PDF/snmp_mib.pdf,Use the Aruba Service Portal and filter by product series and software release as directed by the official guide,https://www.arubanetworks.com/techdocs/AOS-CX/10.11/PDF/snmp_mib.pdf,"The guide directs users to the Service Portal and carries HPE copyright and commercial-software notices; it does not state a MIB-specific public redistribution license.",unknown,unknown,unknown,unknown,unknown,Q,"Obtain the actual archive and embedded notices through authorized access, then request an explicit MIB redistribution license from HPE Aruba if no separate license is present.",2026-07-13
fortinet,Fortinet FortiGate and Fortinet Core MIBs,https://docs.fortinet.com/document/fortigate/7.2.10/administration-guide/608160/mib-files,Download from the FortiGate System SNMP page or the authenticated Fortinet support portal,https://www.fortinet.com/corporate/about-us/legal,"Fortinet authorizes copying only for non-commercial internal support of Fortinet products and prohibits public or commercial reproduction, distribution, publication, transmission, and derivative works without written permission.",unknown,denied,denied,denied,denied,Q,"Request written permission from Fortinet Legal for public commercial indexing and redistribution; keep downloaded files outside the public corpus meanwhile.",2026-07-13
palo-alto-networks,Palo Alto Networks enterprise SNMP MIBs,https://docs.paloaltonetworks.com/resources/snmp-mib-files,Download the enterprise MIB bundle from the official technical-documentation resource page,https://www.paloaltonetworks.com/legal-notices/terms-of-use,"Palo Alto Networks grants a personal non-commercial internal-use copy and prohibits modification, commercial/public use, transfer, or reproduction and distribution without prior written permission.",unknown,denied,denied,denied,denied,Q,"Request a separate written MIB content/API redistribution license through Palo Alto Networks Legal or the account team.",2026-07-13
f5,F5 BIG-IP enterprise MIBs,https://my.f5.com/manage/s/article/K13322,Copy from the BIG-IP appliance MIB directory or use the official product download route described by F5,https://www.f5.com/company/policies/terms-of-use,"F5's terms grant a limited informational-use license and prohibit reproduction, modification, distribution, transmission, or republication unless expressly permitted in writing.",unknown,denied,denied,denied,denied,Q,"Request written permission from F5 Legal for the five scopes. A customer appliance copy may be used only in a local Tier P workflow unless its accompanying terms say more.",2026-07-13
